player_id,season_year,passing_yards,rushing_yards,receiving_yards,interceptions,tackles,field_goals,touchdowns
1,2013,0,0,0,0,1,0,0
4,1987,0,0,0,0,0,13,0
4,1988,0,0,0,0,0,8,0
5,2015,0,0,180,0,0,0,0
5,2016,0,0,8,0,0,0,0
5,2017,0,0,44,0,0,0,0
7,2016,0,0,0,0,1,0,0
8,1996,0,1116,139,0,0,0,11
8,1997,0,908,261,0,0,0,16
8,1998,0,1060,111,0,0,0,7
8,1999,0,445,84,0,0,0,2
8,2000,0,-2,0,0,0,0,0
9,2011,0,0,0,0,9,0,0
9,2012,0,0,0,0,28,0,0
9,2013,0,0,0,0,12,0,0
9,2014,0,0,3,0,22,0,0
9,2015,0,34,0,0,40,0,0
9,2016,0,0,0,0,49,0,0
10,2015,0,597,183,0,0,0,3
10,2016,0,101,57,0,0,0,1
10,2017,0,505,133,0,0,0,4
11,2005,0,0,0,0,0,0,0
11,2006,0,0,0,0,0,0,0
11,2007,0,0,0,0,0,0,0
11,2008,0,0,0,0,1,0,0
11,2009,0,0,0,0,8,0,0
11,2010,0,0,0,0,0,0,0
11,2011,0,0,0,0,0,0,0
12,2008,0,0,0,0,0,0,0
12,2009,0,0,0,0,3,0,0
12,2010,0,0,0,0,50,0,0
12,2011,0,0,0,0,43,0,0
12,2013,0,0,0,0,28,0,0
12,2014,0,0,0,0,58,0,0
12,2015,0,0,0,0,23,0,0
13,2003,0,0,0,0,0,0,0
14,1999,0,12,11,0,0,0,0
14,2000,0,70,14,0,0,0,0
14,2001,0,40,26,0,0,0,0
14,2002,0,0,0,0,0,0,0
14,2003,0,37,55,0,0,0,0
14,2004,0,13,9,0,0,0,1
15,1999,0,0,0,0,0,0,0
15,2000,0,0,0,0,0,0,0
17,1968,0,0,0,0,0,0,0
18,1982,0,100,14,0,0,0,2
18,1983,0,482,395,0,0,0,7
18,1984,0,753,166,0,0,0,1
18,1985,0,851,209,0,0,0,9
18,1986,0,877,395,0,0,0,8
18,1987,0,459,209,0,0,0,2
18,1988,0,14,-2,0,0,0,0
20,2007,0,0,0,0,0,0,0
20,2008,0,0,0,0,10,0,0
20,2009,0,0,0,0,15,0,0
21,2014,0,0,0,0,1,0,0
21,2015,0,0,0,0,0,0,0
21,2016,0,0,0,0,0,0,0
21,2017,0,0,0,0,0,0,0
