player_id,year,team
1809,1990,30
1809,1991,30
1809,1992,30
1809,1993,30
1809,1994,30
1809,1995,30
1809,1996,30
1809,1997,9
1809,1998,9
23586,1993,30
23586,1994,30
23586,1995,30
23586,1996,30
23586,1997,30
23586,1997,4
23586,1998,30
23586,1999,25
23586,2000,25
23586,2001,25
355,2013,3
355,2015,17
355,2016,2
355,2017,2
18182,1970,26
18182,1971,14
18182,1972,14
18182,1973,14
18182,1974,14
18182,1975,14
18182,1976,14
16250,2012,15
4310,2005,29
2701,2014,3
2701,2015,3
2701,2016,3
2701,2017,3
13379,1968,14
11755,2001,4
11755,2002,4
11755,2003,4
11755,2004,4
11755,2005,15
11755,2006,15
11755,2007,15
11755,2008,1
11755,2009,14
24331,1994,21
24331,1995,21
578,1990,21
578,1991,21
578,1992,21
578,1993,28
578,1994,28
578,1995,28
578,1996,28
578,1997,28
578,1998,28
578,1999,28
578,2000,14
3966,2015,30
3966,2016,30
3966,2017,30
9175,1990,21
9175,1991,21
9175,1992,21
9175,1993,21
9175,1994,27
9175,1995,27
9175,1996,27
9175,1997,27
9175,1998,10
9175,1999,10
9175,2000,18
9175,2001,18
24698,2015,12
2657,1970,8
2657,1971,8
2657,1972,8
2657,1973,8
2657,1974,8
2657,1975,8
18011,2015,22
18011,2016,22
18011,2016,23
10730,1981,13
10730,1982,13
10730,1983,13
10730,1984,13
10668,2011,14
10668,2012,14
10668,2013,14
10668,2014,14
10668,2015,9
7004,1960,8
7004,1961,8
7004,1962,8
16395,1987,20
8630,1967,3
8630,1968,3
8630,1969,3
8630,1970,3
8630,1971,3
8630,1972,3
8630,1973,12
480,1971,7
480,1972,7
480,1973,1
5113,1986,17
5113,1987,17
5113,1988,17
5113,1989,17
5113,1990,17
7483,1976,3
12559,1991,17
12559,1992,17
12559,1994,24
12559,1995,24
12559,1996,24
12559,1997,24
12559,1998,24
12559,1999,24
12559,2000,24
12559,2001,24
16070,2016,447
7898,1969,21
7898,1970,21
7898,1971,21
7898,1972,21
7898,1973,21
7898,1974,21
7898,1976,21
8195,1975,8
8195,1976,8
8195,1977,8
8195,1978,8
8195,1979,8
8195,1981,19
1477,1977,27
1477,1978,27
1477,1979,27
1477,1980,27
1477,1981,27
1477,1982,16
6203,1969,16
6203,1970,16
19449,2010,7
19449,2011,7
19449,2012,7
19449,2013,7
19449,2014,14
19449,2015,14
19449,2016,14
19449,2017,14
24379,1978,12
24379,1979,12
24379,1980,12
24379,1981,12
24379,1982,12
24379,1983,12
5048,1962,14
19455,2005,1
19455,2006,1
19455,2007,1
19455,2008,1
19455,2009,1
19455,2010,1
19455,2011,28
19455,2012,32
18159,1966,23
18159,1967,23
18159,1968,23
9462,2015,31
19783,1984,9
19783,1985,9
19783,1987,9
15927,1973,29
15927,1974,29
15927,1975,29
15927,1976,29
15927,1977,19
36,1987,22
20499,1982,28
1244,1999,23
1244,2000,23
1244,2002,22
1244,2003,22
11795,1995,30
11795,1996,32
11795,1997,32
11795,1997,24
11795,1998,32
11795,1999,32
11795,2000,32
11795,2001,24
11795,2002,24
11795,2003,24
11795,2004,24
4103,2009,9
4103,2010,31
4103,2011,11
24188,2005,24
24188,2006,24
24188,2007,15
24188,2007,10
24188,2010,30
24188,2011,30
17195,1970,21
17195,1971,21
17195,1972,21
17858,2011,4
17858,2012,4
17858,2013,4
17858,2014,4
17858,2015,4
17858,2016,4
17858,2017,4
13550,2009,32
13550,2009,13
3301,1975,6
3301,1976,6
3301,1977,6
3301,1978,6
3301,1979,6
3301,1980,6
3301,1981,6
3301,1982,6
3301,1983,6
3301,1984,6
3301,1985,6
15176,2014,9
15176,2015,9
15176,2016,9
15176,2017,9
2569,1970,24
21260,1952,17
13005,1989,27
13005,1990,27
13005,1990,1
18706,1998,13
18706,1999,13
18706,2000,13
18706,2001,13
18706,2002,26
18706,2003,26
18706,2004,26
18706,2005,12
7776,2009,5
5803,1985,28
5803,1986,28
5803,1987,28
5803,1988,28
5803,1990,30
5803,1991,30
1501,1992,9
1501,1993,9
1501,1994,9
1501,1995,9
1501,1996,9
1501,1996,5
1501,1997,9
1501,1998,9
1501,1999,9
1501,2000,9
1501,2001,13
1501,2002,13
6037,1977,2
6037,1978,2
6037,1979,2
6037,1980,2
6037,1981,2
6037,1982,2
6037,1983,2
6037,1984,2
6426,1996,20
6426,1997,20
6426,1997,30
6426,1998,20
6426,1999,20
6426,2000,8
6426,2001,8
1887,1992,32
1887,1993,32
13415,1964,4
13415,1969,14
13415,1970,14
13415,1971,17
13415,1972,17
13370,1961,8
13370,1967,28
13370,1970,26
13406,1983,1
13406,1984,1
13406,1985,1
13406,1986,1
13406,1987,1
13406,1988,1
13406,1990,1
13406,1991,1
22616,1995,19
22616,1996,19
22616,1997,19
22616,1998,19
22616,1999,19
22616,2000,2
22616,2001,2
22616,2002,4
22616,2003,2
22616,2004,2
22616,2006,29
22616,2007,12
22616,2008,12
22616,2009,12
22616,2010,12
22616,2011,11
22616,2011,12
6257,2005,8
6257,2006,8
6257,2007,8
6257,2008,8
6257,2009,8
6257,2009,4
6257,2010,4
6257,2011,31
6257,2012,30
6257,2012,4
2521,1986,9
2521,1987,9
2521,1988,9
2521,1988,18
17500,1989,13
17500,1990,13
17500,1991,13
17500,1991,26
2733,1978,1
5341,1996,17
5341,1997,17
5341,1997,21
5341,1998,17
5341,1999,17
5341,2000,17
5341,2001,17
5341,2002,17
5341,2003,17
5341,2004,17
5341,2005,17
5341,2006,17
5341,2007,17
5341,2008,17
5341,2009,14
5341,2010,14
5341,2011,14
19222,1995,17
19222,1997,31
409,1962,23
16593,1950,7
16593,1951,7
20928,2005,17
20928,2007,1
20928,2008,1
20928,2008,32
20928,2009,32
20928,2010,32
20928,2011,29
20928,2012,11
14412,1980,29
14412,1981,29
14412,1982,29
14412,1983,29
14412,1984,29
14412,1985,29
14412,1986,29
14412,1987,22
14412,1988,22
17509,2016,4
22024,2011,2
22024,2012,2
22024,2013,2
22024,2014,2
18238,2004,6
18238,2005,6
18238,2006,6
18238,2007,6
18238,2007,9
18238,2008,9
18238,2009,7
18238,2010,6
14158,1975,20
14158,1976,20
14158,1977,20
14158,1978,20
14158,1979,20
14158,1980,20
14158,1981,20
14158,1982,20
14158,1983,20
14158,1984,20
14158,1985,20
14158,1986,20
14158,1987,20
14158,1988,20
7723,1975,21
24642,1979,5
24642,1980,5
24642,1981,5
22474,1987,26
22474,1988,26
22474,1989,26
22474,1990,26
22474,1992,26
13133,2011,9
13133,2012,9
13133,2013,9
10604,2009,23
7060,1994,12
7060,1995,12
7060,1996,12
7060,1997,10
7060,1997,29
574,1962,18
574,1963,13
574,1964,13
574,1965,13
574,1966,13
574,1967,13
574,1968,13
574,1969,13
574,1970,13
20401,2008,21
20401,2009,21
20401,2010,21
20401,2011,21
20401,2012,21
20401,2013,21
20401,2014,21
20401,2015,21
20401,2016,23
20401,2017,23
17571,1966,23
17571,1967,23
17571,1968,23
17571,1969,23
14547,2000,28
14547,2001,28
14547,2002,28
14547,2003,28
14547,2004,28
14547,2005,28
14547,2006,28
14547,2007,28
14547,2008,28
14547,2009,28
14547,2010,28
14547,2011,28
14547,2012,28
8305,1993,9
8305,1994,9
8305,1995,9
8305,1996,9
8305,1996,5
8305,1997,9
8305,1998,25
20742,2003,22
20742,2004,22
20742,2005,22
20742,2006,29
20742,2007,29
515,1975,2
515,1976,2
15679,2009,8
15679,2010,8
15679,2011,8
15679,2012,30
15679,2012,17
4270,2017,8
24171,2014,4
24171,2015,4
24171,2016,4
24171,2017,4
24171,2017,12
6824,1953,21
6824,1954,21
6824,1955,21
6824,1956,21
6824,1957,21
6824,1958,21
6824,1960,462
17411,2006,8
17411,2007,2
542,2017,11
4635,2014,24
4635,2015,17
16217,2017,18
532,1978,13
23159,1986,12
23159,1987,12
23159,1989,7
208,2015,13
208,2016,13
208,2017,30
13741,2008,6
13741,2009,27
13741,2010,27
13741,2011,27
13741,2012,16
13741,2013,10
13741,2013,9
451,1991,12
12962,1986,30
22076,1983,27
22076,1984,27
