year,team,wins,losses,ties,win_loss_perc,points,points_opp,points_diff,mov,turnovers,total_yards,pass_yds,rush_yds,penalties,exp_pts_tot
2003,1,14,2,,0.875,348,238,110,6.9,24,5039,3432,1607,111,-136.51
2003,2,10,6,,0.625,311,261,50,3.1,34,4609,2792,1817,103,-177.92
2003,3,6,10,,0.375,243,279,-36,-2.3,34,4348,2684,1664,106,-230.07
2003,4,6,10,,0.375,283,299,-16,-1.0,20,4951,3316,1635,69,-107.89
2003,5,10,6,,0.625,391,281,110,6.9,38,4929,2255,2674,126,-220.5
2003,6,8,8,,0.5,346,384,-38,-2.4,22,5329,3342,1987,107,-78.22
2003,7,6,10,,0.375,300,327,-27,-1.7,28,4792,3304,1488,111,-166.93
2003,8,5,11,,0.313,254,322,-68,-4.3,33,4504,2834,1670,98,-191.88
2003,9,12,4,,0.75,447,336,111,6.9,20,5874,4179,1695,92,-13.96
2003,10,12,4,,0.75,435,324,111,6.9,21,5501,3878,1623,110,-103.79
2003,11,5,11,,0.313,276,331,-55,-3.4,31,5358,3285,2073,108,-132.3
2003,12,5,11,,0.313,255,380,-125,-7.8,27,4306,2655,1651,121,-200.45
2003,13,13,3,,0.813,484,332,152,9.5,18,5910,3981,1929,79,36.78
2003,14,10,6,,0.625,381,301,80,5.0,24,5598,2969,2629,107,-127.67
2003,15,4,12,,0.25,270,379,-109,-6.8,26,4573,2751,1822,134,-190.11
2003,16,4,12,,0.25,313,441,-128,-8.0,31,5167,3021,2146,126,-126.67
2003,17,12,4,,0.75,374,287,87,5.4,22,5035,3020,2015,96,-80.82
2003,18,10,6,,0.625,289,260,29,1.8,29,5161,3162,1999,98,-251.47
2003,19,5,11,,0.313,287,372,-85,-5.3,28,4659,3006,1653,124,-182.25
2003,20,4,12,,0.25,243,387,-144,-9.0,38,4942,3383,1559,127,-225.77
2003,21,10,6,,0.625,442,307,135,8.4,32,5798,3240,2558,88,-49.49
2003,22,9,7,,0.563,416,353,63,3.9,24,6294,3951,2343,127,8.32
2003,23,7,9,,0.438,283,346,-63,-3.9,29,4380,2617,1763,92,-215.02
2003,24,5,11,,0.313,270,379,-109,-6.8,28,4262,2924,1338,107,-212.29
2003,25,11,5,,0.688,325,304,21,1.3,31,5141,3050,2091,116,-149.93
2003,26,8,8,,0.5,340,326,14,0.9,28,5438,3438,2000,103,-109.71
2003,27,7,9,,0.438,301,264,37,2.3,31,5453,3805,1648,117,-214.9
2003,28,5,11,,0.313,299,422,-123,-7.7,31,4357,2408,1949,90,-190.61
